Size	Npops	PC0	PC1	PC2	PC3	PC4	PC5	PC6	PC7
70	3	0.7768575238549994	0.6520184608943225	0.09835040342232143	0.1427038505762122	-0.024607073454916653	0.02080553489356893	0.24249767316931684	0.21217799032955859
70	4	0.7615732524563944	0.4558031470007756	0.46858429643607424	0.14574657962997764	0.05486247356636992	0.01932633376414553	0.03052847384545256	0.08154093634742589
70	5	0.6983916608805487	0.22845986812679597	0.35988958150484773	0.21316315623761622	0.0956484335756113	0.14197681430612435	0.05878125944977045	0.0585700729590417
70	6	0.32668446287780517	0.054364810824120556	0.05015499531902554	-0.05092582930465981	-0.014682233413249684	-0.047899746535058595	-0.00012807002424106145	0.007208741388985146
70	7	0.35201868063531755	0.07201242520664514	-0.021922202858693802	0.04357817888218181	-0.0929172863080231	-0.036607419113502467	-0.05578965892671097	-0.02226818415669121
70	8	0.2655493977072296	0.02442492874014882	0.02405257571249332	-0.05093334958509125	-0.014749403358600836	-0.05650377672207146	-0.05131427234013474	-0.03765475650002215
70	9	0.28371258878257305	0.053665060716541986	0.11760644028643392	0.014507123480042064	0.0035521352790531357	-0.05402028576452985	-0.02243922468158152	-0.09889471365176504
80	3	0.8190167994044609	0.6418252260271843	0.09384727072593432	-0.10355442914166492	0.09508649573692976	-0.0034035355205011652	0.17737841116175568	0.12411423264469269
80	4	0.7339881728854639	0.5763641688793972	0.5353479030412631	0.10350586149756276	-0.037983262741993956	0.098688403956629	0.11638381579895127	0.06936464105649875
80	5	0.7518314425044426	0.42815352294035847	0.32715251912415394	0.3191932284344331	0.1024592411729506	0.12801365640545367	0.1056838038849492	-0.01208208246855851
80	6	0.6261760859640514	0.13232207685757266	0.08756687733379681	0.06654313068026657	0.12211874275255138	0.09209490749327365	-0.022487615345846885	-0.013605915930038993
80	7	0.48286324881173404	0.1244118109506813	0.02643797145643805	0.04232610258388657	-0.0001412057466421697	-0.020460943489266702	0.03411129968981135	0.020240700205908534
80	8	0.22220527749768257	0.05912023646558977	0.027121485831294884	0.038606411716369506	-0.025528259705637615	-0.02251916889671939	-0.0848762518793413	-0.05381068125049446
80	9	0.13467223784133367	0.04529267397789855	-0.023937661137910137	0.03346766429842227	0.03393894424710388	-0.052275126122152966	-0.048433285399207514	-0.059764218381731696
90	3	0.8019976405161267	0.6524672508351325	0.10538057694104633	-0.10102910714531033	-0.09899407627061824	0.08251147870606611	0.052345539950362494	-0.05124108917020457
90	4	0.7846524172062561	0.4989181729723698	0.49023254091463897	-0.0553759874208219	0.1057234640203669	0.133852976445341	-0.08141432877954105	-0.05238496128866926
90	5	0.7056209545925572	0.4394320089972911	0.30422785947533554	0.26092178652848064	0.033077035896339244	0.009634460164527547	0.11308586519757113	0.03453128449282881
90	6	0.6906079006176697	0.3610727942696097	0.20584618030976842	0.1732242170893842	0.15110827884852648	-0.07970374495096444	-0.021229977358233267	-0.04698646409680519
90	7	0.42930853394069224	0.0692353469612857	0.03878845579553531	0.024411567925194905	0.07422099825041148	-0.0603142358024148	-0.01171161775717231	0.003652314145607356
90	8	0.5729101422815362	0.25923162824528434	0.02853096432155637	0.021625714994951473	0.027202936685185787	0.07893399593243353	0.030394521798504243	0.027098493996146587
90	9	0.08705147648407492	0.09042466280061856	0.07227670170224479	-0.017269629171773666	0.0337973721825504	-0.03151144681777796	-0.0768810403308642	-0.08849076810321474
100	3	0.8069746034478958	0.76256229439326	0.04674897652274628	0.03907252776489931	0.061166436548217434	0.06913294385278689	-0.01906113193853086	-0.03791907274909566
100	4	0.7978308697204956	0.5949125126778178	0.6769542314321616	-0.03761698465376288	0.05494527204515196	0.015303976112889238	-0.029657285184666517	-0.03440011852113712
100	5	0.6881035618727604	0.35450142577032306	0.2114965755512796	0.36207000270686934	0.021073500993586496	0.0694676653070084	0.08209546364688143	0.11540813157923013
