Size	Npops	PC0	PC1	PC2	PC3	PC4	PC5	PC6	PC7
70	5	0.6377647981335333	0.23394987386384905	0.12777813779184788	0.07900256201791787	0.14492370558858444	0.016327378073406233	0.05337957715281038	0.1241373883454389
70	6	0.46134341216543717	0.25445969313967187	0.21158511446763467	0.25635081770407414	0.5488662789356357	0.3712107472797402	0.10236746423461278	0.03372548200911462
70	7	0.6126696618715085	0.36159365416533396	0.12529834526046052	0.1427803046439389	0.1137003136534898	0.045436581524858285	0.10834256174062142	0.023640816813702458
70	8	0.637026625306465	0.35037013800995054	0.2859666180007603	0.11356290760927035	0.19685492583211908	0.16878832688598416	0.15121763496035243	0.08533532041714796
70	9	0.5208467110372981	0.24092269523443646	0.1535947659296382	0.037276176204045476	0.05064676883631875	0.04487866137176304	0.05370785621436751	0.20753794629126515
80	3	0.3270679407862316	0.08552634256463763	-0.06079364495457847	-0.020181035178494906	-0.11071294964731439	-0.019076791094640118	-0.0012445542427242376	-0.05527104141722632
80	4	0.5003002780555638	0.3487851851431263	0.3100672003044646	0.07815136883040139	0.16943847485118346	0.017738501963273926	0.00033002410040006716	0.13116423857284995
80	5	0.44782493029841214	0.22317633285887611	0.07739921116250953	0.2500517484430314	0.018438097604320556	0.005773301224495673	0.09135876876745899	-0.05254354253108408
80	6	0.4337660553925517	0.07605324511833718	0.04029511965509754	-0.08087109152637113	0.16713386361229185	0.33170823776621766	-0.008742162510129282	-0.017880582238093516
80	7	0.43667349575629993	0.15398431661857062	-0.013386574889322616	-0.046836645317687844	-0.01893124987160671	0.2815790857834368	0.08232119102310408	0.021309318915179086
80	8	0.46827497256926337	0.1379055333973164	0.08853608695090054	0.05498127298148921	0.008668183404022119	0.07742182069506204	0.26053455999583724	0.11464775748205767
80	9	0.4734326969809429	0.1631628013467576	0.11783066265564618	0.07444611078056458	0.06462724925325358	0.13836801962343143	0.0818521219872475	0.24249576428322758
90	3	0.3536061868932991	0.19710606410188583	0.031291791234281274	0.07158345939692502	0.0086214522136746	0.10828851350312357	-0.11941927824967626	-0.05310978171442819
90	4	0.4064100673616222	0.1524228534741141	0.3607960541285076	0.17581874204500383	0.08507762051891436	0.06283801542253854	0.11634342353989839	0.1612629235803039
90	5	0.296898189045034	0.024415042397687808	-0.008246886686169205	0.26831118711141594	0.17031868062020172	0.06741450773210456	0.17751419336359353	0.009657987572624802
90	6	0.529344834416803	0.19551260183942748	-0.01098964014102195	0.08961963733381699	-0.015671049305157145	0.06628934667591276	0.025402778696272325	0.10875692612261363
90	7	0.43540583642027186	0.12250825521977535	0.04899138476537736	0.07663490689879293	0.1706827625260519	-0.0137070069231023	0.08500379544368085	0.07847978043278732
90	8	0.3977332914455858	0.13121339541700247	0.051490736315267994	0.017311251157440748	-0.003815543662729406	0.06995221353246815	0.15166594429695054	0.12920541186610202
90	9	0.445490457625883	0.28035098945257503	0.16993018485655953	0.1420381360179194	0.06853514373054441	0.12061515017516619	0.13682849828250862	0.39289519112675403
100	3	0.7208474582458111	0.5898598522648397	0.19732153636939803	-0.009719242991895962	0.04928450842165351	0.2035672718797008	0.12256141973746232	0.15797298870392842
100	4	0.46504527427127723	0.11085752447197349	0.004300437706319456	-0.00932737403645329	0.009947666547798746	-0.0024558952178365514	-0.07026465968182276	-0.0809078654440699
100	5	0.5648692247863278	0.27955841729884956	0.4039827266415828	0.6518368222876405	0.018337171767346637	0.15891583627924497	0.10000541217243561	0.043107863727490044
100	6	0.7995081269170168	0.4816273579415574	0.4188971943263799	0.592918322575144	0.812272932957897	0.12253063989074069	0.15286682470292542	0.1699879809680531
100	7	0.5172327696869704	0.0700979314929227	-0.02857872361293239	0.021307059383885153	-0.04281819477018852	0.20152511666820952	0.057746383518621644	0.0832694082231189
100	8	0.5413553103583486	0.23032288098658957	0.09850490926080817	0.11063294519371893	0.02293540111165434	0.04509344359162628	0.2543140271389898	0.06544929836559697
100	9	0.4675354695640978	0.1979126897510885	0.06289877168604535	0.02854716163201859	-0.032560898711377614	0.031073092710269444	-0.006102455176469868	0.10848803791549172
110	3	0.5032012818769718	0.3480253429045853	-0.08582885833030969	0.021840423496656977	0.06249316516363486	-0.008972698995175646	-0.0021979884364469963	0.1333564567791996
110	4	0.3952109487942426	0.293107296011065	0.28031407866196345	0.1582747219841242	0.030731907883833898	-0.04108134224012953	0.0364492685933978	0.03978119467581675
110	5	0.43931593187445	0.1383594312644267	0.15478793937332797	0.3991452195971572	0.14143760765696164	0.023492181450506407	0.10983484950388339	0.05556516335320945
110	6	0.41187736853185153	0.22005706911455564	0.15956957207110842	0.09852779365161905	0.2723259790419902	0.10968491027451273	0.000724813513343004	0.03702846388257336
110	7	0.453646369189797	0.312348680140955	0.1936807199367752	0.19311288347261094	0.12707862461212505	0.4710805654750025	0.15786529445538	0.07307037039746545
110	8	0.30487055636869165	0.13796454265480596	-0.04948131027156807	-0.05240891333653122	0.012128732750389386	0.024511728052378653	0.05385812705298311	0.03117371115637891
110	9	0.5175310312141134	0.1970994463773147	0.08783477370007722	0.08150339193041535	0.10365865912950821	0.11411040172608768	0.11431864873970307	0.0483791366251678
120	3	0.3579902443210482	0.13788300111362461	0.03471901649158657	0.0573673044441215	0.043952474164397876	-0.044982538688219685	-0.09594906818929154	0.0150520585644614
120	4	0.4763367146468986	0.11677571287361879	0.31571824501854007	0.022152095482545132	0.05060689018446955	0.08412440051742467	0.06981601616084245	0.055493172390000005
120	5	0.21298253204605777	0.08978874139406319	0.07392592419334165	0.2107341800437182	-0.011540300225973587	0.07782689836343026	-0.014403699717374017	0.04902454840077666
120	6	0.2736434576816692	-0.002991846340371982	-0.08400219391091578	-0.041450853663559224	0.09000946372653285	0.05827289088708882	-0.0015992536940323732	-0.02264274250054756
120	7	0.50771392566031	0.24095888975026872	0.08718447756255705	0.15785782680553417	0.18261437558537588	0.42768336337417856	0.14879301361132816	0.15517868281032662
120	8	0.4067499935586289	0.018097132993488408	0.15525707164753486	-0.009189648571413769	0.04386711827240912	0.12164220875352362	0.04353555701580481	0.07294731169026127
120	9	0.3088411601453124	0.09964748368862414	0.040065105401830337	0.003225709771250976	0.006238063031563934	0.006051532261662973	0.04427339586699983	0.027657147888308697
130	3	0.7525708402945884	0.5923315805552003	-0.08388295629596693	0.1018194614021458	0.04004305933612992	0.07263048288762454	-0.04685912994929184	-0.007861352805523624
